name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
Canara HSBC Life Insurance,4.1,3300.0,Insurance,Gurugram,6500.0,580.0,1.0,179.0
PepsiCo,4.0,3300.0,Food Processing,Hyderabad,14600.0,257.0,244.0,263.0
UPL,4.1,3300.0,Agro Chemicals,Ankleshwar,11300.0,229.0,46.0,296.0
Tata Electronics,3.8,3300.0,Semiconductors,Hosur,13800.0,303.0,19.0,115.0
Max Healthcare,4.0,3300.0,Healthcare,New Delhi,10800.0,208.0,178.0,299.0
Mankind Pharma,3.8,3300.0,Pharma,New Delhi,10000.0,271.0,10.0,261.0
Titan Company,4.2,3300.0,Retail,Bengaluru,10100.0,220.0,99.0,349.0
Ambuja Cements,3.9,3300.0,Building Material,Ahmedabad,8800.0,259.0,28.0,311.0
Amazon Transportation Services,4.2,3200.0,Logistics,Hyderabad,8900.0,265.0,0.0,250.0
S&P Global,3.9,3200.0,Analytics & KPO,Hyderabad,21500.0,340.0,95.0,227.0
Dilip Buildcon,3.9,3200.0,Engineering & Construction,Bhopal,8000.0,197.0,9.0,296.0
Societe Generale Global Solution Centre,3.6,3200.0,IT Services & Consulting,Bengaluru,23800.0,308.0,34.0,304.0
Allcargo Logistics,3.8,3200.0,Logistics,Mumbai,6800.0,143.0,8.0,327.0
Varroc Group,3.6,3200.0,Auto Components,Pune,9800.0,229.0,27.0,246.0
MSN Laboratories,3.6,3200.0,Pharma,Hyderabad,10100.0,183.0,25.0,165.0
Quest Global,3.5,3200.0,IT Services & Consulting,Bengaluru,22500.0,376.0,192.0,205.0
Walmart,3.4,3200.0,Retail,Bengaluru,25100.0,452.0,213.0,323.0
ESAF Small Finance Bank,3.6,3200.0,Banking,Thrissur,7800.0,185.0,75.0,112.0
Ola Electric Mobility,3.3,3200.0,Automobile,Bengaluru,9800.0,316.0,0.0,94.0
IDFC FIRST Bharat,4.1,3200.0,Financial Services,Chennai,5300.0,168.0,3.0,92.0
Afcons Infrastructure,4.2,3200.0,Engineering & Construction,Mumbai,8800.0,283.0,45.0,323.0
Torrent Pharmaceuticals,4.0,3200.0,Pharma,Ahmedabad,10400.0,178.0,24.0,320.0
DS Group,4.0,3200.0,FMCG,Noida,8200.0,240.0,25.0,229.0
Zepto,3.6,3100.0,Internet,Bengaluru,11300.0,493.0,44.0,64.0
Bharat Financial Inclusion,3.7,3100.0,Financial Services,Hyderabad,5700.0,130.0,4.0,182.0
Marpu Foundation,4.9,3100.0,Non-Profit,Hyderabad,61.0,266.0,0.0,8.0
