name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
Kotak Mahindra Life Insurance Company,3.5,3.8k,Insurance,Mumbai,12.9k,269,292,263
Reliance Communications,3.9,3.8k,Telecom,Mumbai,9.2k,110,--,357
Bharat Electronics,4.2,3.8k,Electronics Manufacturing,Bengaluru,13k,258,--,316
Dabur,3.8,3.8k,FMCG,New Delhi,9.2k,355,41,280
Cogent E Services,3.1,3.8k,BPO,Noida,10.6k,300,2,222
UNO Minda,3.9,3.8k,Auto Components,Pune,12.1k,279,151,309
ArcelorMittal Nippon Steel India,4.1,3.8k,Iron & Steel,Surat,13.3k,287,12,134
Godrej & Boyce Manufacturing,3.8,3.7k,Consumer Electronics & Appliances,Mumbai,15.3k,247,55,409
Abbott,4.1,3.7k,Pharma,Mumbai,12.2k,192,208,367
Ipca Laboratories,3.8,3.7k,Pharma,Mumbai,11.8k,226,48,246
Aarti Industries,4.1,3.7k,Agro Chemicals,Bharuch,14.7k,341,93,357
Samvardhana Motherson Group,3.7,3.7k,Auto Components,Noida,12k,266,24,415
Reliance Projects & Property Management Services,4.0,3.7k,Other,Kolkata,7.6k,218,--,34
Reliance Digital,4.1,3.7k,Retail,Mumbai,8.4k,184,2,255
IGT Solutions,3.2,3.7k,BPO,New Delhi,14k,261,293,225
MRF Tyres,3.6,3.7k,Auto Components,Chennai,13.4k,395,80,350
Indian Oil Corporation,4.3,3.6k,Oil & Gas,New Delhi,7.9k,249,--,302
Alkem Laboratories,3.9,3.6k,Pharma,Mumbai,10.3k,208,51,327
"NTT DATA, Inc.",3.9,3.6k,IT Services & Consulting,Bengaluru,21k,162,128,259
Johnson Controls,3.5,3.6k,Industrial Automation,Pune,18.1k,312,4,273
Honda Motorcycle & Scooter,4.1,3.6k,Automobile,Gurugram,11.2k,215,--,347
[24]7.ai,3.4,3.6k,Hospitality,Bengaluru,11.7k,203,64,418
Vishal Mega Mart,3.7,3.6k,Retail,New Delhi,6.3k,224,3,274
Barclays,3.7,3.6k,Banking,Pune,35k,329,--,274
Hindustan Coca Cola Beverages,4.0,3.5k,Beverage,Bengaluru,8.2k,197,24,384
DTDC Express,3.7,3.5k,Logistics,New Delhi,9k,208,41,267
Bajaj General Insurance Limited,3.6,3.5k,Insurance,Pune,11.2k,149,344,244
TVS Credit Services Ltd,4.1,3.5k,NBFC,Chennai,7.5k,171,39,197
RSPL Group,4.0,3.5k,FMCG,Kanpur,10.1k,274,43,298
IndusInd Nippon Life Insurance,3.3,3.5k,Insurance,Mumbai,8.1k,175,13,216
ABB,4.0,3.5k,Industrial Machinery,Bengaluru,19.3k,311,557,368
UBS,3.8,3.5k,Financial Services,Pune,32.5k,382,2,130
AGS Health,3.9,3.5k,Analytics & KPO,Chennai,15.4k,225,54,299
Ceat Tyres,3.9,3.5k,Auto Components,Nagpur,13.1k,217,51,352
Sagility,3.9,3.5k,BPO,Bengaluru,13.9k,311,77,130
NatWest Group,3.9,3.4k,Banking,Gurugram,22.1k,244,5,379
Ford Motor,4.2,3.4k,Automobile,Chennai,15.7k,180,6,404
Alstom Transportation,3.7,3.4k,Engineering & Construction,Bengaluru,16.1k,294,175,191
Croma,3.8,3.4k,Retail,Mumbai,9.9k,197,47,200
HARMAN,3.8,3.4k,Consumer Electronics & Appliances,Bengaluru,24.3k,301,158,109
Niva Bupa Health Insurance Company,4.0,3.4k,Insurance,New Delhi,8.9k,390,225,137
InterGlobe Aviation,3.4,3.4k,Aviation,New Delhi,13.8k,387,30,319
Conduent,3.4,3.4k,BPO,Bengaluru,17.3k,250,177,377
Tata Technologies,3.4,3.4k,Automobile,Pune,23.8k,318,294,320
Tata AIG,4.0,3.3k,Insurance,Mumbai,12.2k,203,113,242
Indian Air Force,4.6,3.3k,Defence & Aerospace,New Delhi,5.3k,88,2,355
Tata AutoComp Systems,3.7,3.3k,Auto Components,Pune,11.8k,226,99,190
GeBBS Healthcare Solutions,3.8,3.3k,BPO,Mumbai,11.5k,191,79,302
Jindal Stainless,4.1,3.3k,Iron & Steel,Jajpur,12.1k,343,178,210
Canara HSBC Life Insurance,4.1,3.3k,Insurance,Gurugram,6.5k,580,1,179
PepsiCo,4.0,3.3k,Food Processing,Hyderabad,14.6k,257,244,263
UPL,4.1,3.3k,Agro Chemicals,Ankleshwar,11.3k,229,46,296
Tata Electronics,3.8,3.3k,Semiconductors,Hosur,13.8k,303,19,115
Max Healthcare,4.0,3.3k,Healthcare,New Delhi,10.8k,208,178,299
Mankind Pharma,3.8,3.3k,Pharma,New Delhi,10k,271,10,261
Titan Company,4.2,3.3k,Retail,Bengaluru,10.1k,220,99,349
Ambuja Cements,3.9,3.3k,Building Material,Ahmedabad,8.8k,259,28,311
Amazon Transportation Services,4.2,3.2k,Logistics,Hyderabad,8.9k,265,--,250
S&P Global,3.9,3.2k,Analytics & KPO,Hyderabad,21.5k,340,95,227
Dilip Buildcon,3.9,3.2k,Engineering & Construction,Bhopal,8k,197,9,296
Societe Generale Global Solution Centre,3.6,3.2k,IT Services & Consulting,Bengaluru,23.8k,308,34,304
Allcargo Logistics,3.8,3.2k,Logistics,Mumbai,6.8k,143,8,327
Varroc Group,3.6,3.2k,Auto Components,Pune,9.8k,229,27,246
MSN Laboratories,3.6,3.2k,Pharma,Hyderabad,10.1k,183,25,165
Quest Global,3.5,3.2k,IT Services & Consulting,Bengaluru,22.5k,376,192,205
Walmart,3.4,3.2k,Retail,Bengaluru,25.1k,452,213,323
ESAF Small Finance Bank,3.6,3.2k,Banking,Thrissur,7.8k,185,75,112
Ola Electric Mobility,3.3,3.2k,Automobile,Bengaluru,9.8k,316,--,94
IDFC FIRST Bharat,4.1,3.2k,Financial Services,Chennai,5.3k,168,3,92
Afcons Infrastructure,4.2,3.2k,Engineering & Construction,Mumbai,8.8k,283,45,323
Torrent Pharmaceuticals,4.0,3.2k,Pharma,Ahmedabad,10.4k,178,24,320
DS Group,4.0,3.2k,FMCG,Noida,8.2k,240,25,229
Zepto,3.6,3.1k,Internet,Bengaluru,11.3k,493,44,64
Bharat Financial Inclusion,3.7,3.1k,Financial Services,Hyderabad,5.7k,130,4,182
Marpu Foundation,4.9,3.1k,Non-Profit,Hyderabad,61,266,--,8
Tata Elxsi,3.4,3.1k,IT Services & Consulting,Bengaluru,25k,350,84,215
Suzlon Group,4.0,3.1k,Power,Pune,8.4k,190,51,333
Indus Towers,3.6,3.1k,Telecom,Gurugram,9.6k,240,53,214
HDFC Sales,3.9,3.1k,Financial Services,Mumbai,8.3k,202,39,188
Zensar Technologies,3.6,3.1k,IT Services & Consulting,Pune,25.9k,288,421,251
Square Yards,3.5,3.1k,Internet,Gurugram,9.7k,238,76,227
Eternal Limited,3.6,3.1k,Internet,Gurugram,15.6k,371,12,226
Fujitsu,3.8,3.1k,IT Services & Consulting,Pune,17.9k,214,73,204
I Process Services,3.8,3k,Recruitment,Mumbai,5.5k,142,2,114
VVDN Technologies,3.6,3k,IT Services & Consulting,Gurugram,14.4k,269,17,136
CMS IT Services,3.1,3k,IT Services & Consulting,Mumbai,9.2k,161,22,187
Future Group,4.2,3k,Retail,Mumbai,6.1k,85,--,399
IKS Health,3.5,3k,BPO,Mumbai,11.8k,278,22,240
ACC,3.9,3k,Building Material,Mumbai,9.2k,239,20,269
Yazaki,3.9,3k,Auto Components,Pune,9.4k,200,36,273
Shree Cement,3.8,3k,Building Material,Beawar,10.2k,247,16,229
Nokia,4.0,3k,Telecom,Bengaluru,17.6k,334,9,549
Shoppers Stop,3.9,3k,Retail,Mumbai,7.1k,152,49,319
Apollo Tyres,4.0,3k,Auto Components,Chennai,10.1k,159,35,335
Fiserv,2.7,2.9k,FinTech,Pune,17.7k,204,24,324
Physicswallah,3.6,2.9k,EdTech,Noida,9.9k,315,434,73
Britannia,4.0,2.9k,Hospitality,Pune,8.5k,251,35,251
Exl India,3.5,2.9k,Logistics,New Delhi,19.2k,139,2,187
Landmark Group,3.8,2.9k,Retail,Bengaluru,9.7k,182,4,269
Foxconn,3.8,2.9k,Electronics Manufacturing,Chennai,12.5k,261,4,142
SRF,4.1,2.9k,Chemicals,Bharuch,9.4k,215,19,260
SRF,4.1,2.9k,Chemicals,Bharuch,9.4k,215,19,260
ZS,3.0,2.9k,Management Consulting,Pune,22.6k,539,82,280
Kansai Nerolac Paints,3.8,2.9k,Chemicals,Mumbai,8.2k,201,65,190
Star Health & Allied Insurance,3.5,2.9k,Insurance,Chennai,10.7k,164,40,174
Blue Dart Express Ltd,3.9,2.8k,Logistics,Mumbai,7.1k,139,6,234
Nestlé,3.7,2.8k,FMCG,Gurugram,10.1k,295,14,312
Exide Industries,3.4,2.8k,Electrical Equipment,Kolkata,9.2k,227,4,241
Shell,3.9,2.8k,Oil & Gas,Bengaluru,14.5k,244,42,259
UnitedHealth,4.0,2.8k,Healthcare,Hyderabad,13.3k,84,--,434
Micro Labs,3.6,2.8k,Pharma,Bengaluru,9.9k,158,12,205
KPMG Global Services,3.4,2.8k,Management Consulting,Bengaluru,24.8k,275,40,14
Flex,3.9,2.8k,Electronics Manufacturing,Chennai,15.3k,217,45,438
TVS Supply Chain Solutions,3.8,2.8k,Logistics,Chennai,8.5k,172,18,194
Blue Star,4.0,2.7k,Consumer Electronics & Appliances,Mumbai,10k,206,123,251
Gallagher,3.6,2.7k,Insurance,Bengaluru,15.1k,284,213,141
ElasticRun,3.6,2.7k,Logistics,Pune,6.7k,280,4,224
Care Health Insurance,3.5,2.7k,Insurance,Gurugram,9.2k,172,39,174
Photon Interactive,4.0,2.7k,IT Services & Consulting,Chennai,7.8k,142,877,113
